train_avg_loss,train_classification_loss,train_regression_loss,val_avg_loss,val_classification_loss,val_regression_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
3.2881581861464704,1.213430656272857,2.0747275254765496,1.6675776243209839,0.45867476761341097,1.2089028716087342,62.59421634674072,False,,,1,5418c5c9fedf4a57aa5e0f0ea0209a6e,2021-01-10_10-15-43,1610273743,62.59421634674072,2665,047a838c0537,172.28.0.2,62.59421634674072,0,1,a679f_00000
1.8078539176065413,0.5182156430893257,1.2896382701201516,1.5135265469551087,0.3973103642463684,1.1162161946296691,62.54681372642517,False,,,2,5418c5c9fedf4a57aa5e0f0ea0209a6e,2021-01-10_10-16-46,1610273806,125.1410300731659,2665,047a838c0537,172.28.0.2,125.1410300731659,0,2,a679f_00000
1.6976897736064722,0.46708530285319344,1.230604464890527,1.3867561936378479,0.35450056195259094,1.032255619764328,60.848963260650635,False,,,3,5418c5c9fedf4a57aa5e0f0ea0209a6e,2021-01-10_10-17-47,1610273867,185.98999333381653,2665,047a838c0537,172.28.0.2,185.98999333381653,0,3,a679f_00000
1.6038316253755913,0.4236703722691927,1.1801612523735547,1.4288601517677306,0.3590210899710655,1.0698390662670136,60.626220703125,False,,,4,5418c5c9fedf4a57aa5e0f0ea0209a6e,2021-01-10_10-18-47,1610273927,246.61621403694153,2665,047a838c0537,172.28.0.2,246.61621403694153,0,4,a679f_00000
1.5178566487109075,0.3925017589916948,1.1253548958262458,1.3609966874122619,0.3236206442117691,1.037376046180725,62.55207872390747,False,,,5,5418c5c9fedf4a57aa5e0f0ea0209a6e,2021-01-10_10-19-50,1610273990,309.168292760849,2665,047a838c0537,172.28.0.2,309.168292760849,0,5,a679f_00000
1.507994565807405,0.3810054772212857,1.1269890988459352,1.3457807064056397,0.3300348460674286,1.015745848417282,59.259905099868774,False,,,6,5418c5c9fedf4a57aa5e0f0ea0209a6e,2021-01-10_10-20-49,1610274049,368.4281978607178,2665,047a838c0537,172.28.0.2,368.4281978607178,0,6,a679f_00000
1.4770978112689783,0.37543929478184124,1.1016585211284826,1.3595190286636352,0.32360688149929046,1.0359121441841126,61.829697132110596,False,,,7,5418c5c9fedf4a57aa5e0f0ea0209a6e,2021-01-10_10-21-51,1610274111,430.25789499282837,2665,047a838c0537,172.28.0.2,430.25789499282837,0,7,a679f_00000
1.4766545090519014,0.36493293941020966,1.111721568420285,1.2869864225387573,0.2776265874505043,1.0093598246574402,60.098159074783325,False,,,8,5418c5c9fedf4a57aa5e0f0ea0209a6e,2021-01-10_10-22-51,1610274171,490.3560540676117,2665,047a838c0537,172.28.0.2,490.3560540676117,0,8,a679f_00000
1.3441522121429443,0.3150347363753397,1.0291174728362287,1.2747940182685853,0.28693380355834963,0.9878602206707001,59.681859254837036,False,,,9,5418c5c9fedf4a57aa5e0f0ea0209a6e,2021-01-10_10-23-51,1610274231,550.0379133224487,2665,047a838c0537,172.28.0.2,550.0379133224487,0,9,a679f_00000
1.4068795559836216,0.3191029612646728,1.0877765944746673,1.359086239337921,0.3590181827545166,1.0000680685043335,60.59413409233093,False,,,10,5418c5c9fedf4a57aa5e0f0ea0209a6e,2021-01-10_10-24-51,1610274291,610.6320474147797,2665,047a838c0537,172.28.0.2,610.6320474147797,0,10,a679f_00000
1.396595618763908,0.33762555996902655,1.0589700624591014,1.2795663058757782,0.3038352385163307,0.9757310688495636,58.80431151390076,False,,,11,5418c5c9fedf4a57aa5e0f0ea0209a6e,2021-01-10_10-25-50,1610274350,669.4363589286804,2665,047a838c0537,172.28.0.2,669.4363589286804,0,11,a679f_00000
1.365223382340103,0.31699154171787325,1.0482318352480404,1.282285463809967,0.3199522078037262,0.9623332977294922,60.73196196556091,False,,,12,5418c5c9fedf4a57aa5e0f0ea0209a6e,2021-01-10_10-26-51,1610274411,730.1683208942413,2665,047a838c0537,172.28.0.2,730.1683208942413,0,12,a679f_00000
1.3704049851073594,0.31463392152160896,1.0557710606543744,1.249981290102005,0.30649333596229555,0.943487960100174,60.95807099342346,False,,,13,5418c5c9fedf4a57aa5e0f0ea0209a6e,2021-01-10_10-27-52,1610274472,791.1263918876648,2665,047a838c0537,172.28.0.2,791.1263918876648,0,13,a679f_00000
1.3393626623466366,0.3207595521797899,1.018603100151312,1.3589475512504579,0.29521033465862273,1.0637372076511382,61.83996653556824,False,,,14,5418c5c9fedf4a57aa5e0f0ea0209a6e,2021-01-10_10-28-53,1610274533,852.966358423233,2665,047a838c0537,172.28.0.2,852.966358423233,0,14,a679f_00000
1.4056110939041513,0.3532384577833238,1.0523726256167303,1.2718624472618103,0.3234164983034134,0.9484459638595581,59.870867013931274,False,,,15,5418c5c9fedf4a57aa5e0f0ea0209a6e,2021-01-10_10-29-53,1610274593,912.8372254371643,2665,047a838c0537,172.28.0.2,912.8372254371643,0,15,a679f_00000
