train_loss,train_acc,val_loss,val_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0.467728231289084,0.8095238095238095,0.053616762739561855,0.9733333333333334,29.301222801208496,False,,,1,588e663d474f41b595c1f5083392f1e4,2021-01-11_09-07-16,1610356036,29.301222801208496,909,8ad561e2a8be,172.28.0.2,29.301222801208496,0,1,30821_00005
0.06121410107306604,0.966031746031746,0.009040410773429488,0.9828571428571429,25.078393697738647,False,,,2,588e663d474f41b595c1f5083392f1e4,2021-01-11_09-07-41,1610356061,54.379616498947144,909,8ad561e2a8be,172.28.0.2,54.379616498947144,0,2,30821_00005
0.012139755072190412,0.9809523809523809,0.008753798586272059,0.9838095238095238,24.949599027633667,False,,,3,588e663d474f41b595c1f5083392f1e4,2021-01-11_09-08-06,1610356086,79.32921552658081,909,8ad561e2a8be,172.28.0.2,79.32921552658081,0,3,30821_00005
0.05069610919237935,0.9701587301587301,0.008229572110964607,0.9828571428571429,25.144216537475586,False,,,4,588e663d474f41b595c1f5083392f1e4,2021-01-11_09-08-31,1610356111,104.4734320640564,909,8ad561e2a8be,172.28.0.2,104.4734320640564,0,4,30821_00005
0.0027758194830283405,0.9844444444444445,0.0037913801955680054,0.9847619047619047,25.10842990875244,False,,,5,588e663d474f41b595c1f5083392f1e4,2021-01-11_09-08-56,1610356136,129.58186197280884,909,8ad561e2a8be,172.28.0.2,129.58186197280884,0,5,30821_00005
0.006006613716904429,0.9834920634920635,0.0067188558352201996,0.9809523809523809,24.93300747871399,False,,,6,588e663d474f41b595c1f5083392f1e4,2021-01-11_09-09-21,1610356161,154.51486945152283,909,8ad561e2a8be,172.28.0.2,154.51486945152283,0,6,30821_00005
0.0018624797102806735,0.9847619047619047,0.00277097609869781,0.9838095238095238,24.9813334941864,False,,,7,588e663d474f41b595c1f5083392f1e4,2021-01-11_09-09-46,1610356186,179.49620294570923,909,8ad561e2a8be,172.28.0.2,179.49620294570923,0,7,30821_00005
0.0007903533595399783,0.9847619047619047,0.003774637324774327,0.9828571428571429,25.07158327102661,False,,,8,588e663d474f41b595c1f5083392f1e4,2021-01-11_09-10-11,1610356211,204.56778621673584,909,8ad561e2a8be,172.28.0.2,204.56778621673584,0,8,30821_00005
0.0013531917593319945,0.9847619047619047,0.00311379107286311,0.9838095238095238,25.154592990875244,False,,,9,588e663d474f41b595c1f5083392f1e4,2021-01-11_09-10-36,1610356236,229.72237920761108,909,8ad561e2a8be,172.28.0.2,229.72237920761108,0,9,30821_00005
0.002782746895612772,0.9844444444444445,0.00296258680722011,0.9838095238095238,25.070597887039185,False,,,10,588e663d474f41b595c1f5083392f1e4,2021-01-11_09-11-01,1610356261,254.79297709465027,909,8ad561e2a8be,172.28.0.2,254.79297709465027,0,10,30821_00005
