train_avg_loss,train_classification_loss,train_regression_loss,val_avg_loss,val_classification_loss,val_regression_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
4.927281153006632,1.818064169805558,3.109216983201074,2.8968294858932495,1.0094484269618988,1.8873810529708863,62.68793797492981,False,,,1,760c54854a2c421ea4a49647399d84ed,2021-01-10_09-52-33,1610272353,62.68793797492981,2130,047a838c0537,172.28.0.2,62.68793797492981,0,1,69e4b_00000
2.8580501196814363,1.0231862512768293,1.8348638581447914,2.2505398869514464,0.6852741837501526,1.565265703201294,63.19497060775757,False,,,2,760c54854a2c421ea4a49647399d84ed,2021-01-10_09-53-36,1610272416,125.88290858268738,2130,047a838c0537,172.28.0.2,125.88290858268738,0,2,69e4b_00000
2.349763954272036,0.7373529623766415,1.6124110104607754,1.9639140486717224,0.5699451416730881,1.393968892097473,61.87830948829651,False,,,3,760c54854a2c421ea4a49647399d84ed,2021-01-10_09-54-38,1610272478,187.7612180709839,2130,047a838c0537,172.28.0.2,187.7612180709839,0,3,69e4b_00000
2.024535325706982,0.59009728715068,1.4344380292736116,1.7721912264823914,0.4641529083251953,1.308038330078125,61.20561075210571,False,,,4,760c54854a2c421ea4a49647399d84ed,2021-01-10_09-55-39,1610272539,248.9668288230896,2130,047a838c0537,172.28.0.2,248.9668288230896,0,4,69e4b_00000
1.8558093211689934,0.5276287794113159,1.3281805417576775,1.843809473514557,0.4833984196186066,1.3604110598564148,58.3695604801178,False,,,5,760c54854a2c421ea4a49647399d84ed,2021-01-10_09-56-38,1610272598,307.3363893032074,2130,047a838c0537,172.28.0.2,307.3363893032074,0,5,69e4b_00000
1.8495522053515325,0.5033937619357812,1.3461584478128152,1.8141021251678466,0.4533504247665405,1.3607516884803772,60.28573179244995,False,,,6,760c54854a2c421ea4a49647399d84ed,2021-01-10_09-57-38,1610272658,367.62212109565735,2130,047a838c0537,172.28.0.2,367.62212109565735,0,6,69e4b_00000
1.7852092043298189,0.4700468592956418,1.3151623606681824,1.6104735016822815,0.4196538895368576,1.1908196210861206,62.009652853012085,False,,,7,760c54854a2c421ea4a49647399d84ed,2021-01-10_09-58-40,1610272720,429.63177394866943,2130,047a838c0537,172.28.0.2,429.63177394866943,0,7,69e4b_00000
1.7904620776410962,0.47656432258301096,1.3138977611651186,1.7211822986602783,0.5127086997032165,1.2084735989570619,64.65825200080872,False,,,8,760c54854a2c421ea4a49647399d84ed,2021-01-10_09-59-45,1610272785,494.29002594947815,2130,047a838c0537,172.28.0.2,494.29002594947815,0,8,69e4b_00000
1.62712112997399,0.43834987820171917,1.1887712478637695,1.6045992732048036,0.40857062935829164,1.1960286140441894,62.0807671546936,False,,,9,760c54854a2c421ea4a49647399d84ed,2021-01-10_10-00-47,1610272847,556.3707931041718,2130,047a838c0537,172.28.0.2,556.3707931041718,0,9,69e4b_00000
1.640084448407908,0.43134848968904527,1.2087359672687092,1.5325414180755614,0.3779127597808838,1.1546286523342133,61.54427242279053,False,,,10,760c54854a2c421ea4a49647399d84ed,2021-01-10_10-01-48,1610272908,617.9150655269623,2130,047a838c0537,172.28.0.2,617.9150655269623,0,10,69e4b_00000
