train_loss,train_acc,val_loss,val_acc,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0.9735093171325858,0.6209339774557167,0.3611974869877244,0.8821256038647343,30.873772382736206,False,,,1,953b1f30d94c4142be32d7b2bad8dc75,2021-01-11_08-51-58,1610355118,30.873772382736206,711,8ad561e2a8be,172.28.0.2,30.873772382736206,0,1,30821_00000
0.6653417039728587,0.748792270531401,0.3528494580662337,0.8772946859903381,26.91486144065857,False,,,2,953b1f30d94c4142be32d7b2bad8dc75,2021-01-11_08-52-25,1610355145,57.788633823394775,711,8ad561e2a8be,172.28.0.2,57.788633823394775,0,2,30821_00000
0.6418960025854973,0.7668276972624799,0.26269352848952016,0.902415458937198,26.835229873657227,False,,,3,953b1f30d94c4142be32d7b2bad8dc75,2021-01-11_08-52-52,1610355172,84.623863697052,711,8ad561e2a8be,172.28.0.2,84.623863697052,0,3,30821_00000
0.5293712814438987,0.8006441223832529,0.22477052518782983,0.9217391304347826,26.73021936416626,False,,,4,953b1f30d94c4142be32d7b2bad8dc75,2021-01-11_08-53-19,1610355199,111.35408306121826,711,8ad561e2a8be,172.28.0.2,111.35408306121826,0,4,30821_00000
0.5433171537154371,0.7971014492753623,0.21425063501355116,0.9294685990338164,26.424464464187622,False,,,5,953b1f30d94c4142be32d7b2bad8dc75,2021-01-11_08-53-45,1610355225,137.77854752540588,711,8ad561e2a8be,172.28.0.2,137.77854752540588,0,5,30821_00000
0.5166838726718669,0.8093397745571659,0.27559257970891154,0.9033816425120773,24.636261463165283,False,,,6,953b1f30d94c4142be32d7b2bad8dc75,2021-01-11_08-54-10,1610355250,162.41480898857117,711,8ad561e2a8be,172.28.0.2,162.41480898857117,0,6,30821_00000
0.46077777661800073,0.8260869565217391,0.20707327015596724,0.9265700483091788,24.690503358840942,False,,,7,953b1f30d94c4142be32d7b2bad8dc75,2021-01-11_08-54-35,1610355275,187.1053123474121,711,8ad561e2a8be,172.28.0.2,187.1053123474121,0,7,30821_00000
0.3706939828619601,0.8647342995169083,0.18332610995180293,0.9371980676328502,24.76616859436035,False,,,8,953b1f30d94c4142be32d7b2bad8dc75,2021-01-11_08-54-59,1610355299,211.87148094177246,711,8ad561e2a8be,172.28.0.2,211.87148094177246,0,8,30821_00000
0.38465053899402635,0.856682769726248,0.1653772029744524,0.9381642512077294,24.594359159469604,False,,,9,953b1f30d94c4142be32d7b2bad8dc75,2021-01-11_08-55-24,1610355324,236.46584010124207,711,8ad561e2a8be,172.28.0.2,236.46584010124207,0,9,30821_00000
0.35574052847049015,0.8695652173913043,0.18569774839122766,0.9333333333333333,24.439893007278442,False,,,10,953b1f30d94c4142be32d7b2bad8dc75,2021-01-11_08-55-48,1610355348,260.9057331085205,711,8ad561e2a8be,172.28.0.2,260.9057331085205,0,10,30821_00000
