train_avg_loss,train_classification_loss,train_regression_loss,val_avg_loss,val_classification_loss,val_regression_loss,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
4.449782668567095,1.709217779949063,2.740564881778154,2.3124552726745606,0.622587850689888,1.689867377281189,63.483962059020996,False,,,1,35c12d86495242f6956266df0d41336a,2021-01-10_10-02-53,1610272973,63.483962059020996,2131,047a838c0537,172.28.0.2,63.483962059020996,0,1,69e4b_00001
2.626070970394572,0.8519437371707353,1.774127239086589,2.0392730474472045,0.5585643291473389,1.4807087182998657,63.945603132247925,False,,,2,35c12d86495242f6956266df0d41336a,2021-01-10_10-03-57,1610273037,127.42956519126892,2131,047a838c0537,172.28.0.2,127.42956519126892,0,2,69e4b_00001
2.2533994365911014,0.6839754615650803,1.5694239706289572,1.818222665786743,0.48352946639060973,1.33469318151474,58.05941939353943,False,,,3,35c12d86495242f6956266df0d41336a,2021-01-10_10-04-55,1610273095,185.48898458480835,2131,047a838c0537,172.28.0.2,185.48898458480835,0,3,69e4b_00001
2.0198753720424216,0.5950571977701343,1.4248181708523484,1.7760120630264282,0.5636796444654465,1.212332421541214,60.30846619606018,False,,,4,35c12d86495242f6956266df0d41336a,2021-01-10_10-05-55,1610273155,245.79745078086853,2131,047a838c0537,172.28.0.2,245.79745078086853,0,4,69e4b_00001
1.9159546777850291,0.5472211036525789,1.368733570223949,1.673552441596985,0.4186102956533432,1.2549421310424804,59.93767523765564,False,,,5,35c12d86495242f6956266df0d41336a,2021-01-10_10-06-55,1610273215,305.73512601852417,2131,047a838c0537,172.28.0.2,305.73512601852417,0,5,69e4b_00001
1.9460736571765336,0.5686805560940602,1.3773930952197215,1.5732701539993286,0.42691102921962737,1.14635910987854,62.62489438056946,False,,,6,35c12d86495242f6956266df0d41336a,2021-01-10_10-07-58,1610273278,368.3600203990936,2131,047a838c0537,172.28.0.2,368.3600203990936,0,6,69e4b_00001
1.8448456682142664,0.5048111105551485,1.3400345640104325,1.5294841408729554,0.4041255980730057,1.1253585338592529,59.738035917282104,False,,,7,35c12d86495242f6956266df0d41336a,2021-01-10_10-08-58,1610273338,428.09805631637573,2131,047a838c0537,172.28.0.2,428.09805631637573,0,7,69e4b_00001
1.558530842671629,0.3934850482667079,1.1650457919621078,1.4223711609840393,0.33389524519443514,1.0884759306907654,59.03750538825989,False,,,8,35c12d86495242f6956266df0d41336a,2021-01-10_10-09-57,1610273397,487.1355617046356,2131,047a838c0537,172.28.0.2,487.1355617046356,0,8,69e4b_00001
1.5591302768128816,0.3996296302705515,1.1595006546036142,1.3351806640625,0.3616078615188599,0.9735727906227112,59.66629886627197,False,,,9,35c12d86495242f6956266df0d41336a,2021-01-10_10-10-56,1610273456,546.8018605709076,2131,047a838c0537,172.28.0.2,546.8018605709076,0,9,69e4b_00001
1.5011031041379834,0.38489878031074026,1.1162043252929312,1.3059948086738586,0.29394721835851667,1.0120475888252258,60.04309606552124,False,,,10,35c12d86495242f6956266df0d41336a,2021-01-10_10-11-56,1610273516,606.8449566364288,2131,047a838c0537,172.28.0.2,606.8449566364288,0,10,69e4b_00001
